"HolderAddress","Balance","PendingBalanceUpdate"
"0x2d77b594b9bbaed03221f7c63af8c4307432daf1","1,942,451,603,840.244891034609348238","No"
"0x000000000000000000000000000000000000dead","1,729,951,403,921.479091076254935778","No"
"0x5281e311734869c64ca60ef047fd87759397efe6","529,085,867,534.008783510815240394","No"
"0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91","266,185,906,986.922906922671665686","No"
"0xdba68f07d1b7ca219f78ae8582c213d975c25caf","133,710,572,574.207710126097735093","No"
"0xdead000000000000000042069420694206942069","118,497,477,394.655359582934619596","No"
"0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88","114,576,168,638.397859318611408932","No"
"0x55ac81186e1a8454c79ad78c615c43f54f87403b","56,845,028,867.895754131424168181","No"
"0xf89d7b9c864f589bbf53a82105107622b35eaa40","46,956,575,522.729762966165019643","No"
"0x9c43dd3f55a016b1d678f7c6405302e44671d0b9","32,716,863,308.86018093718208","No"
"0xc7907b7051115edb99f9420b2854c045fbb19ecf","29,856,862,684.862209417700960886","No"
"0xbc49d8e6378bab292737be79bb4078a12c983b60","29,081,204,340.538422501994644447","No"
"0x5bdf85216ec1e38d6458c870992a69e38e03f7ef","25,610,692,800.736375701319524","No"
"0x7c45ccbb1d9a86a7a4ffbd96a87bb458c7804ab2","25,203,709,764.2483330352","No"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","23,128,263,108.878375561159332383","No"
"0xb2747c4bd1dad97f3187040bd54009049203491a","21,912,000,000","No"
"0x0d9b1e53cbb251572d982d9f96520e8d40d22bb0","21,300,000,000","No"
"0x837e6546622b09b026f5b1a0737e8938cfcebeb2","20,150,045,920.21451576494458976","No"
"0xf6e765ec6e787d9d66dda8f82f3d9784b886f530","16,318,969,544","No"
"0x1b1a63a532db09c14962c83a8b765f8a688b37bb","15,088,943,568.20048225424","No"
"0xcd2c2a749defc05a170d76d0eebea259752db798","13,779,913,976.174235132656819954","No"
"0x0a3ebf23643a7c77c3d8f56800e5fde4bcd58ee1","12,104,064,488.83665148189587937","No"
"0x3a6dd6fcc82f1bad7aebec05f9e9b751aacbc091","12,017,113,334.394910498937984833","No"
"0x570f6332239cd68cb029042f5487a4e01d7c46e7","10,114,223,505.109861490879373278","No"
"0xd12ab2f797aa5a841dff1ed31bcad05bc92c9a57","10,008,496,797.580000812012682786","No"
"0xab5801a7d398351b8be11c439e05c5b3259aec9b","10,000,000,888.8171999999999928","No"
"0x9ff06b905031faefdfe8b49016575228e57630b4","9,960,000,000","No"
"0x4710bf81066f8d17c2010b114339616ff5556d72","9,939,185,443.545332822936838201","No"
"0x3f9be8d50d952bd814072c20f018de1548026ba3","9,109,188,150.345681671315967184","No"
"0x9c6a2bd4b6b0778b84a5e37b80f83256a5b0e1d5","8,403,670,583.621358628921155552","No"
"0x0dc0f068041a014b810ad00d929e60e45d94c6e9","8,116,168,000.000000000575472439","No"
"0xd02180861a831e675e1c48087f3037fca65109ab","7,569,628,361.353113794874746492","No"
"0x8630fee0d452079827bd0e4f791ae0c32980aba9","7,544,814,203.931371059152024085","No"
"0x99964dc2d5fb3590ae3f548675c4268f0ec4714a","7,470,138,098.929640187744233028","No"
"0xf4c7b381a7a7d19fcd8a2f85dc466680f918b88d","7,324,152,225.584360004412993938","No"
"0x1f98f55d4f077d32a78aaf187bdf60aa83163326","7,281,083,935.66324445332073222","No"
"0x8a83716acd66d9e1fb18c9b79540b72e04f80ac0","7,268,355,906.717787342711669758","No"
"0xfe09c33644075a2299471dbc54d62f16800790ca","7,203,660,930.60684","No"
"0x85840526fdac0c34b4d070216c38620fa913dabc","7,200,502,934.70806198832459255","No"
"0xc54b4422bd3501e251ff9117fff91d30420294ae","7,120,667,443.650221607639412604","No"
"0x1fcf1cfb2602e4ef0ea399868212dd4b592077bf","6,253,422,769.476654014966883758","No"
"0x9b228b4f71b3bc7e4b478251f218060d7b70dc25","6,111,000,000","No"
"0x67c7af25b27e2c347ae730d4bc7a2e8a410728d4","5,829,564,315.869111994499782019","No"
"0x1c6b5795be43ddff8812b3e577ac752764635bc5","5,679,803,747.943800599309266307","No"
"0xabaca2a907206f7aec3d9550f4e40e96e23be6ef","5,585,588,399.092615203248845018","No"
"0x7074ca5f94e096d58249000b08063e5118ec271d","5,110,815,127.056432294003705434","No"
"0x3ab28ecedea6cdb6feed398e93ae8c7b316b1182","5,048,658,226.780756237488439919","No"
"0x4553ed5d8d3731e629f67bd86abd021175f31848","5,006,358,570.655","No"
"0x4fd366be8698f88292657c31e295b47406ec06b7","4,878,246,455.948868114660756181","No"
"0x5d878c527e292cd3faf750dce3035e46b778e634","4,861,184,675.241109268516909679","No"
"0x5934e156f5b739072511a0ac7d6fc7f65048bfe6","4,781,483,122.211295401244101862","No"
"0xf0f9d895aca5c8678f706fb8216fa22957685a13","4,769,089,203.169604833723738687","No"
"0x3908e690852be30e2e653fe72b4ada329702caa2","4,676,833,576.010709220917420554","No"
"0xd1dadf4a440afb322d1b8fc3aa2e6f4f5ed6c68a","4,509,132,789.690725847696682277","No"
"0xfc1aa55dbb06929b8906542ad43cb4f501efe3dd","4,407,964,071.556992350718493629","No"
"0xe8289440370aa9f8b15368e4790e5de4ba612177","4,359,995,611.839315657705108697","No"
"0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21","4,350,251,811.460831252101831994","No"
